"AgeGroup","Period","end_year","bandwidth","H_D","bw_label","mean_distance_active","baseline_mda","drift"
"10-17","2007-2009",2009,"baseline",5,"H_D = 5 km (baseline)",3.79013902819947,3.84671017029952,-0.0565711421000543
"10-17","2010-2012",2012,"baseline",5,"H_D = 5 km (baseline)",3.74843820456897,3.84671017029952,-0.0982719657305484
"10-17","2013-2015",2015,"baseline",5,"H_D = 5 km (baseline)",3.12020499886508,3.84671017029952,-0.726505171434439
"10-17","2016-2018",2018,"baseline",5,"H_D = 5 km (baseline)",3.86382800713271,3.84671017029952,0.0171178368331919
"10-17","2019-2021",2021,"baseline",5,"H_D = 5 km (baseline)",4.39134747896923,3.84671017029952,0.544637308669704
"10-17","2022-2024",2024,"baseline",5,"H_D = 5 km (baseline)",4.16630330406167,3.84671017029952,0.319593133762145
"10-17","2007-2009",2009,"bw3",3,"H_D = 3 km",3.53976655024747,3.57420503990899,-0.0344384896615182
"10-17","2010-2012",2012,"bw3",3,"H_D = 3 km",3.46602768356997,3.57420503990899,-0.108177356339018
"10-17","2013-2015",2015,"bw3",3,"H_D = 3 km",2.80350672672313,3.57420503990899,-0.770698313185858
"10-17","2016-2018",2018,"bw3",3,"H_D = 3 km",3.63636584880784,3.57420503990899,0.0621608088988497
"10-17","2019-2021",2021,"bw3",3,"H_D = 3 km",4.12464209905593,3.57420503990899,0.550437059146937
"10-17","2022-2024",2024,"bw3",3,"H_D = 3 km",3.8749213310496,3.57420503990899,0.30071629114061
"10-17","2007-2009",2009,"bw7",7,"H_D = 7 km",4.07253051838592,4.14339259846369,-0.0708620800777711
"10-17","2010-2012",2012,"bw7",7,"H_D = 7 km",4.06688467646558,4.14339259846369,-0.0765079219981066
"10-17","2013-2015",2015,"bw7",7,"H_D = 7 km",3.44971693799322,4.14339259846369,-0.693675660470474
"10-17","2016-2018",2018,"bw7",7,"H_D = 7 km",4.12522777060847,4.14339259846369,-0.0181648278552169
"10-17","2019-2021",2021,"bw7",7,"H_D = 7 km",4.6552884800396,4.14339259846369,0.511895881575908
"10-17","2022-2024",2024,"bw7",7,"H_D = 7 km",4.49070720728935,4.14339259846369,0.347314608825663
"18-30","2007-2009",2009,"baseline",5,"H_D = 5 km (baseline)",4.24156537019934,4.44789418797323,-0.206328817773888
"18-30","2010-2012",2012,"baseline",5,"H_D = 5 km (baseline)",4.47579523786159,4.44789418797323,0.0279010498883645
"18-30","2013-2015",2015,"baseline",5,"H_D = 5 km (baseline)",4.12768754003768,4.44789418797323,-0.320206647935545
"18-30","2016-2018",2018,"baseline",5,"H_D = 5 km (baseline)",4.35146347103938,4.44789418797323,-0.096430716933849
"18-30","2019-2021",2021,"baseline",5,"H_D = 5 km (baseline)",4.41394627315625,4.44789418797323,-0.0339479148169737
"18-30","2022-2024",2024,"baseline",5,"H_D = 5 km (baseline)",5.07690723554512,4.44789418797323,0.629013047571894
"18-30","2007-2009",2009,"bw3",3,"H_D = 3 km",3.94122716854156,4.17098919637519,-0.229762027833634
"18-30","2010-2012",2012,"bw3",3,"H_D = 3 km",4.17241302415574,4.17098919637519,0.00142382778054717
"18-30","2013-2015",2015,"bw3",3,"H_D = 3 km",3.84049469767516,4.17098919637519,-0.330494498700026
"18-30","2016-2018",2018,"bw3",3,"H_D = 3 km",4.05272332625645,4.17098919637519,-0.11826587011874
"18-30","2019-2021",2021,"bw3",3,"H_D = 3 km",4.18675050751897,4.17098919637519,0.0157613111437795
