"AgeGroup","YearBin","total_mass","share_away_time","share_home_time","mean_dist"
"10-17","2007–2009",1,0.28108881915552,0.718911180844479,0.864265018918561
"10-17","2010–2012",1,0.269083335185073,0.730916664814927,0.864559206582973
"10-17","2013–2015",1,0.272494726035089,0.727505273964911,0.777875504714598
"10-17","2016–2018",1,0.285001417360853,0.714998582639147,0.833375551136833
"10-17","2019–2021",1,0.254076763306624,0.745923236693376,0.738382567118624
"10-17","2022–2024",1,0.264129673992754,0.735870326007245,0.832698782955577
"18-30","2007–2009",1,0.270441676662854,0.729558323337146,1.26807197727336
"18-30","2010–2012",1,0.255635566946209,0.744364433053791,1.29512252061669
"18-30","2013–2015",1,0.245499518901804,0.754500481098196,1.11798786514726
"18-30","2016–2018",1,0.253863634950303,0.746136365049697,1.16641952564061
"18-30","2019–2021",1,0.219314692990051,0.780685307009949,1.03226683231046
"18-30","2022–2024",1,0.22387584414466,0.77612415585534,1.09620095083785
"31-55","2007–2009",1,0.262749908784143,0.737250091215857,1.62779431246696
"31-55","2010–2012",1,0.258511506575592,0.741488493424408,1.64363858487165
"31-55","2013–2015",1,0.256715116794457,0.743284883205543,1.61676976724326
"31-55","2016–2018",1,0.266277487470289,0.733722512529711,1.77356571047513
"31-55","2019–2021",1,0.224486143967993,0.775513856032007,1.42746453184431
"31-55","2022–2024",1,0.230991586310357,0.769008413689643,1.46960282122599
"56-65","2007–2009",1,0.184857391389385,0.815142608610615,0.921072621717034
"56-65","2010–2012",1,0.180899911025266,0.819100088974734,0.830736734060282
"56-65","2013–2015",1,0.174822354994492,0.825177645005508,0.835640577405044
"56-65","2016–2018",1,0.209645918407227,0.790354081592773,1.04670491313933
"56-65","2019–2021",1,0.191834227905596,0.808165772094404,0.995049797288816
"56-65","2022–2024",1,0.185147097550193,0.814852902449807,0.910709404881225
"66+","2007–2009",1,0.0895551735735352,0.910444826426465,0.408301141668318
"66+","2010–2012",1,0.0869194999833056,0.913080500016694,0.382704003761612
"66+","2013–2015",1,0.0853765785968505,0.914623421403149,0.384725356134018
"66+","2016–2018",1,0.0943161377764077,0.905683862223592,0.472176035413084
"66+","2019–2021",1,0.0880424985861148,0.911957501413885,0.472295796030523
"66+","2022–2024",1,0.0890595141095024,0.910940485890498,0.423012782609591
