"AgeGroup","YearBin","mean_hours_away_grid","share_no_travel_grid"
"10-17","2007–2009",7.66638936748187,0
"10-17","2010–2012",7.42677363977157,0
"10-17","2013–2015",7.48523280055594,0
"10-17","2016–2018",7.74076561450638,0
"10-17","2019–2021",7.08302788090903,0
"10-17","2022–2024",7.24931343113679,0
"18-30","2007–2009",6.95423023578363,0
"18-30","2010–2012",6.55861310368817,0
"18-30","2013–2015",6.35035382474828,0
"18-30","2016–2018",6.5183299389002,0
"18-30","2019–2021",5.52381199958407,0
"18-30","2022–2024",5.67638701484245,0
"31-55","2007–2009",6.73443938189347,0
"31-55","2010–2012",6.54567884010295,0
"31-55","2013–2015",6.49897992173826,0
"31-55","2016–2018",6.74699272733707,0
"31-55","2019–2021",5.71248975943993,0
"31-55","2022–2024",5.77531872158008,0
"56-65","2007–2009",4.75712353930488,0
"56-65","2010–2012",4.65261493317323,0
"56-65","2013–2015",4.57560398879726,0
"56-65","2016–2018",5.35555555555556,0
"56-65","2019–2021",4.92944410855455,0
"56-65","2022–2024",4.7811755056007,0
"66+","2007–2009",2.43544934208758,0
"66+","2010–2012",2.36595290222673,0
"66+","2013–2015",2.24308562219157,0
"66+","2016–2018",2.44950431297668,0
"66+","2019–2021",2.22449117587396,0
"66+","2022–2024",2.19774563305769,0
