"AgeGroup","Year","n","share_no_trips","avg_distance_km","sd_distance_km","avg_hours_away","sd_hours_away","avg_first_trip_h","sd_first_trip_h","n_trippers","avg_last_trip_h","sd_last_trip_h"
"10-17",2007,1173,0.0707587382779199,13.381525971124,29.1930490813788,8.42047456663825,4.16660713179789,8.44548929663609,2.29311090148451,1090,17.5071559633028,3.09461169351785
"18-30",2007,1238,0.0710823909531502,28.632059743339,39.8379165235466,8.88916262789445,4.80181912300799,9.05739130434783,3.12354071240844,1150,18.626768115942,3.52525914299723
"31-55",2007,3508,0.0909350057012543,35.5417816495845,53.8105358437263,8.54516343595591,4.55505835131334,8.45711821887739,2.74155364075101,3189,17.85706595589,3.11198894367606
"56-65",2007,1442,0.151872399445215,27.7393619319664,51.9960962324806,6.2539990753583,4.81014328331749,9.52303079858272,3.08707491377143,1223,16.896920141728,3.40580266305455
"66+",2007,1257,0.268098647573588,13.7171201393536,30.9099174131037,3.3333465924158,3.75754857731266,11.0585144927536,2.61242843716133,920,15.6128804347826,3.68997330758853
"10-17",2008,1104,0.0742753623188406,12.7015760567147,24.3242782023537,8.61342089371981,4.10890483029046,8.35812133072407,2.12117857725363,1022,17.6626386170907,3.18613349521604
"18-30",2008,1199,0.0809007506255213,30.2983486330008,44.5050298899295,8.69637197664721,4.77119105613345,9.06359649122807,2.95741206206881,1102,18.5254385964912,3.40839771395544
"31-55",2008,3196,0.074468085106383,35.5664987560543,52.2938356234431,8.64119732999583,4.50969633358803,8.41461009691233,2.80723673694899,2958,17.7510761775975,3.14820354702461
"56-65",2008,1326,0.127450980392157,26.1716289708509,43.3808280851694,6.49785067873303,4.74815376120386,9.42070008643042,3.07509389766663,1157,16.8676750216076,3.47183647947352
"66+",2008,1242,0.256843800322061,14.8166183332092,32.3534687862524,3.5503757380569,3.8554164674771,10.9714698447093,2.62424714848124,923,15.7488985193211,3.7255420362224
"10-17",2009,1515,0.0752475247524752,16.0637821714157,29.8070087791305,8.5174697469747,4.23385969733982,8.42481560789912,2.21199786152427,1401,17.6353556983107,3.20635267779764
"18-30",2009,1555,0.084887459807074,27.9699034895317,40.4289043953422,8.67730975348339,4.87191866350056,9.31066994612321,3.24525853479178,1423,18.7929023190443,3.54958012326485
"31-55",2009,4531,0.0715073935113661,36.5616663116374,49.9886957846877,8.69622599867579,4.52790054551131,8.37863481499089,2.66885440420897,4207,17.7445963077411,3.19641617801336
"56-65",2009,1901,0.138874276696476,27.7722829933798,44.8817312358404,6.53246536910398,4.84303919375081,9.38464671146406,3.14064834674409,1637,16.9706068010588,3.5510956634885
"66+",2009,1771,0.251270468661773,17.2197515547059,35.9939791237855,3.48325804630152,3.87179367305164,10.9802664655606,2.64415383385247,1326,15.6324912016088,3.72105605979434
"10-17",2010,2010,0.0840796019900498,14.7680895521903,26.6645594361274,8.21495024875622,4.26512747563933,8.46061922868006,2.34398196496821,1841,17.4296849538294,3.21795233144546
"18-30",2010,1963,0.0957717778909832,28.786138556446,42.3473544904882,8.26544404822551,4.88698507199106,9.23431924882629,3.21019571145036,1775,18.3752018779343,3.51751040888784
"31-55",2010,5704,0.0922159887798037,33.9056837648091,47.71758131399,8.32876051893408,4.57775491750991,8.33751770310287,2.70373283627062,5178,17.5123438908201,3.19154017932756
"56-65",2010,2537,0.165944028379976,27.121245562053,45.9088556309879,6.19507949021154,4.89659951465318,9.25255986137366,2.85201105279631,2116,16.6802142407057,3.54269356345926
