"AgeGroup","YearBin","n","share_no_trips","avg_distance_km","sd_distance_km","avg_hours_away","sd_hours_away","avg_first_trip_h","sd_first_trip_h","n_trippers","avg_last_trip_h","sd_last_trip_h","se_no_trips","ci_no_trips_low","ci_no_trips_high","ci_no_trips_label","se_distance","ci_distance_low","ci_distance_high","ci_distance_label","se_hours","ci_hours_low","ci_hours_high","ci_hours_label","se_first","ci_first_low","ci_first_high","ci_first_label","se_last","ci_last_low","ci_last_high","ci_last_label"
"10-17","2007–2009",3792,0.0735759493670886,14.2551951266974,28.1546754471055,8.51540084388186,4.17656953968907,8.41182749786507,2.21140428876007,3513,17.6035155138059,3.16595185229704,0.00423973471878985,0.0652660693182605,0.0818858294159167,"6.5--8.2",0.457210674213691,13.3590622052385,15.1513280481562,"13.4--15.2",0.0678243362715774,8.38246514478957,8.64833654297415,"8.38--8.65",0.037310328483435,8.33869925403754,8.48495574169261,"8.34--8.48",0.0534152457659261,17.4988216321046,17.7082093955071,"17.5--17.71"
"18-30","2007–2009",3992,0.0794088176352705,28.8746016782173,41.5191714333141,8.74873496993988,4.81984168939869,9.15732426303855,3.12463806987649,3675,18.6607120181406,3.50101176816558,0.0042792977353153,0.0710213940740525,0.0877962411964885,"7.1--8.8",0.657133203560492,27.5866205992387,30.1625827571958,"27.6--30.2",0.076284711391606,8.59921693561233,8.89825300426743,"8.6--8.9",0.0515431608789527,9.0562996677158,9.2583488583613,"9.06--9.26",0.057751716765327,18.5475186532805,18.7739053830006,"18.55--18.77"
"31-55","2007–2009",11235,0.0784156653315532,35.9601255103802,51.8610367862716,8.63340453938585,4.53127893304827,8.41308512008242,2.73130854839618,10354,17.7810878243513,3.15694591116879,0.00253619369991797,0.073444725679714,0.0833866049833924,"7.3--8.3",0.489276837238059,35.0011429093936,36.9191081113667,"35--36.9",0.0427498168642898,8.54961489833184,8.71719418043986,"8.55--8.72",0.0268421119687196,8.36047458062373,8.46569565954111,"8.36--8.47",0.0310250907670402,17.7202786464479,17.8418970022547,"17.72--17.84"
"56-65","2007–2009",4669,0.139644463482544,27.3075283554635,46.7886562147129,6.43663168415792,4.80663512873573,9.43716289104639,3.10538192384141,4017,16.918525433574,3.48399221852494,0.00507269677598741,0.129701977801609,0.14958694916348,"13--15",0.684744630431847,25.965428879817,28.6496278311099,"26--28.6",0.0703443497018388,6.29875675874232,6.57450660957352,"6.3--6.57",0.0489963924764719,9.3411299617925,9.53319582030027,"9.34--9.53",0.0549700662624647,16.8107841036995,17.0262667634484,"16.81--17.03"
"66+","2007–2009",4270,0.257845433255269,15.4896580769081,33.5388020636394,3.45864949258392,3.83377825748466,11.0004207426107,2.62861750329782,3169,15.6607026401599,3.71263776456087,0.00669442016253607,0.244724369736699,0.27096649677384,"24.5--27.1",0.513255496465441,14.4836773038358,16.4956388499803,"14.5--16.5",0.0586695899021679,3.34365709637567,3.57364188879217,"3.34--3.57",0.0466945587534574,10.9088994074539,11.0919420777675,"10.91--11.09",0.0659510111342169,15.5314386583368,15.7899666219829,"15.53--15.79"
"10-17","2010–2012",4229,0.0865452825727122,13.7126223774044,24.6306047654124,8.16904311499961,4.26229597402682,8.43977047199931,2.33295957259238,3863,17.3827897143843,3.16989561964041,0.004323608570453,0.0780710097746244,0.0950195553708001,"7.8--9.5",0.378753131998676,12.970266238687,14.4549785161218,"13--14.5",0.0655427653946595,8.04057929482607,8.29750693517314,"8.04--8.3",0.0375357293498904,8.36620044247353,8.51334050152509,"8.37--8.51",0.051001459881283,17.282826853017,17.4827525757516,"17.28--17.48"
"18-30","2010–2012",4395,0.0839590443686007,28.47345845874,41.6629480467987,8.42184679560106,4.88299497262541,9.22632058287796,3.20930779720504,4026,18.4200654081802,3.56368313883392,0.00418323005653204,0.0757599134577979,0.0921581752794035,"7.6--9.2",0.628449749453546,27.2416969498111,29.705219967669,"27.2--29.7",0.0736557807594981,8.27748146531244,8.56621212588968,"8.28--8.57",0.0505794946592035,9.12718477334592,9.32545639241,"9.13--9.33",0.0561645387970332,18.309982912138,18.5301479042223,"18.31--18.53"
"31-55","2010–2012",12308,0.0823041923951901,34.4013235391301,47.9099228578296,8.49857680641317,4.5526021063506,8.34074811863657,2.67334690542337,11295,17.6015257488564,3.20824301801783,0.002477231586515,0.0774488184856207,0.0871595663047595,"7.7--8.7",0.431848810592177,33.5548998703695,35.2477472078908,"33.6--35.2",0.0410360878801885,8.418146074168,8.57900753865834,"8.42--8.58",0.0251542979495163,8.29144569465551,8.39005054261762,"8.29--8.39",0.0301872909220869,17.5423586586491,17.6606928390637,"17.54--17.66"
"56-65","2010–2012",5369,0.159061277705346,26.9047867258066,45.3994940976448,6.31580058359719,4.88298968511218,9.27842377260982,2.89468549146313,4515,16.7888409007014,3.53442749659776,0.00499134635088604,0.149278238857609,0.168844316553082,"14.9--16.9",0.619589873953545,25.6903905728576,28.1191828787555,"25.7--28.1",0.0666406316556745,6.18518494555207,6.44641622164232,"6.19--6.45",0.0430796838096569,9.19398759234289,9.36285995287674,"9.19--9.36",0.0526005396616083,16.6857438429646,16.8919379584381,"16.69--16.89"
"66+","2010–2012",5513,0.287502267368039,14.7960003725769,33.7438543804243,3.3122800653002,3.90392821324865,10.8758698234895,2.6175865103358,3928,15.5246987440597,3.71867207004174,0.00609562700086691,0.27555483844634,0.299449696289738,"27.6--29.9",0.454465261336357,13.9052484603576,15.6867522847961,"13.9--15.7",0.052578455788432,3.20922629195487,3.41533383864553,"3.21--3.42",0.0417652710558379,10.79400989222,10.9577297547589,"10.79--10.96",0.0593337971294566,15.408404501686,15.6409929864335,"15.41--15.64"
