"AgeGroup","YearBin","mean_hours_away_grid","share_no_travel_grid"
"10-17","2007–2009",7.33170731707317,0
"10-17","2010–2012",7.01018269121661,0
"10-17","2013–2015",7.07780288705437,0
"10-17","2016–2018",7.29964690125411,0
"10-17","2019–2021",6.59398180227869,0
"10-17","2022–2024",6.80932829028539,0
"18-30","2007–2009",6.68687543227838,0
"18-30","2010–2012",6.28824692791909,0
"18-30","2013–2015",6.05790797254129,0
"18-30","2016–2018",6.14723750298971,0
"18-30","2019–2021",5.26257556746892,0
"18-30","2022–2024",5.44708364527326,0
"31-55","2007–2009",6.37453933544748,0
"31-55","2010–2012",6.20876552188697,0
"31-55","2013–2015",6.1288684894889,0
"31-55","2016–2018",6.41462342254694,0
"31-55","2019–2021",5.33586923990384,0
"31-55","2022–2024",5.45460926258817,0
"56-65","2007–2009",4.29214218570484,0
"56-65","2010–2012",4.21959535718104,0
"56-65","2013–2015",4.29895712630359,0
"56-65","2016–2018",4.97040520158684,0
"56-65","2019–2021",4.62087846684918,0
"56-65","2022–2024",4.48583607618842,0
"66+","2007–2009",2.08798400509147,0
"66+","2010–2012",1.84636729902078,0
"66+","2013–2015",1.82428639517026,0
"66+","2016–2018",2.0699100313942,0
"66+","2019–2021",1.75004615100609,0
"66+","2022–2024",1.87526856574928,0
