"AgeGroup","fraction_away","mean_distance","mean_distance_active","volume","dist_p90","var_distance","Period"
"10-17",0.271103490561069,0.991452959739994,3.73023957791872,23.7948710337598,9.61844377396164,0.762973769273005,"Baseline (2007-2009)"
"18-30",0.28381705538887,2.12884843816049,7.58590904564672,51.0923625158518,9.09546983981263,3.30933206580421,"Baseline (2007-2009)"
"31-55",0.286690823345171,2.40074367500864,8.48951986376474,57.6178482002073,11.3075458797144,5.29261973525729,"Baseline (2007-2009)"
"56-65",0.239289108018832,2.10886876330415,8.87354096834316,50.6128503192997,11.6976674729016,3.82104128884694,"Baseline (2007-2009)"
"66+",0.0940468041837505,0.754138018009581,8.06328883362991,18.0993124322299,10.8657023337256,0.479178459616135,"Baseline (2007-2009)"
"10-17",0.282817445065581,0.998274204273072,3.55507858002511,23.9585809025537,5.28732890186949,0.760894608168432,"2007–2009"
"10-17",0.268448794079968,0.919393856381124,3.43512674768835,22.065452553147,8.53851530072205,0.643739030704691,"2010–2012"
"10-17",0.274965634598754,1.03608730940826,3.80995496539049,24.8660954257983,6.2493113205734,0.848708916010644,"2013–2015"
"10-17",0.293943978489424,1.08722871477928,3.7912302659878,26.0934891547028,17.8999989306834,1.00046383755323,"2016–2018"
"10-17",0.245871121382646,0.819982293613024,3.42510568269354,19.6795750467126,5.90001894540253,0.559700726612721,"2019–2021"
"10-17",0.260573969750038,1.08775137998519,4.36494122572705,26.1060331196446,13.835489244519,0.764335496588311,"2022–2024"
"18-30",0.303051299789934,2.22430612458516,7.40200437571549,53.3833469900438,8.49713255639811,3.39722434939511,"2007–2009"
"18-30",0.288991168280907,2.10650782228505,7.37008476589394,50.5561877348413,7.84746011401296,3.22510048654483,"2010–2012"
"18-30",0.294797220377861,2.10869912459083,7.21979533193826,50.6087789901798,10.9890825059844,3.22342527166838,"2013–2015"
"18-30",0.294582427844476,2.18371461304894,7.48548669758209,52.4091507131744,9.01248661340611,3.19426422907965,"2016–2018"
"18-30",0.254902230197733,2.02787096845109,8.00367085113683,48.6689032428262,8.84174186341117,3.29801674628269,"2019–2021"
"18-30",0.266577985842306,2.12199197600189,8.03441225161372,50.9278074240453,9.38491538566304,3.51796131185458,"2022–2024"
"31-55",0.296660807628262,2.43102447724264,8.28548159255942,58.3445874538235,9.99285672457933,5.5399403110488,"2007–2009"
"31-55",0.298546948243613,2.45539990743641,8.31220242867708,58.9295977784739,9.49206786099807,5.1866320586169,"2010–2012"
"31-55",0.292339227206139,2.43275587147722,8.41913765141949,58.3861409154532,17.8690078003221,5.65629004177207,"2013–2015"
"31-55",0.303212564297734,2.55018733576973,8.52034043182006,61.2044960584735,8.969724797146,5.93174493347557,"2016–2018"
"31-55",0.262834198556613,2.23747160077703,8.61352968293748,53.6993184186487,9.51191154271143,4.82358131030553,"2019–2021"
"31-55",0.266551194138664,2.29762285734879,8.7864273951749,55.142948576371,12.0097065525298,4.61752975632488,"2022–2024"
"56-65",0.227504583633425,1.79817961721893,7.98892070428059,43.1563108132544,12.1995200963457,2.71644420866678,"2007–2009"
"56-65",0.229373415662771,1.96931824509824,8.64345519038872,47.2636378823577,9.62739393126233,3.213697951349,"2010–2012"
"56-65",0.224699958768215,1.87917541800832,8.45422619771745,45.1002100321996,11.3286830047802,2.77795309621658,"2013–2015"
"56-65",0.261458097101033,2.31848889314854,8.95540846566202,55.6437334355649,16.1384579276421,3.91755304929425,"2016–2018"
"56-65",0.245126707167635,2.29918034269914,9.44412782397831,55.1803282247794,10.3205016903261,4.42694140680993,"2019–2021"
"56-65",0.247571885779912,2.38887006365176,9.75510742803186,57.3328815276422,10.5714481870533,5.87365802074513,"2022–2024"
"66+",0.0931660730053058,0.588491269211589,6.30786249760098,14.1237904610781,8.72302279828538,0.274514763126237,"2007–2009"
"66+",0.0900374307225349,0.8133143675866,9.07996862935533,19.5195448220784,12.7315634429338,0.477044609465531,"2010–2012"
"66+",0.0918678896975268,0.683074111038963,7.52845674705762,16.3937786649351,9.67205047862643,0.362345985415592,"2013–2015"
"66+",0.0980160466201273,0.935008438780452,9.57642414231113,22.4402025307308,12.2817353181093,0.82857490878089,"2016–2018"
"66+",0.0916779132490642,0.782777430618288,8.6004444614349,18.7866583348389,12.1858435942983,0.481275169482282,"2019–2021"
"66+",0.0995154718079439,0.722162490821593,7.28657652401948,17.3318997797182,9.59999837010022,0.451315321426279,"2022–2024"
