"AgeGroup","YearBin","total_mass","share_away_time","share_home_time","mean_dist"
"10-17","2007–2009",1,0.272080057169382,0.727919942830618,0.752446168637009
"10-17","2010–2012",1,0.252489472461273,0.747510527538727,0.720188130625762
"10-17","2013–2015",1,0.255704567138632,0.744295432861368,0.626089123518368
"10-17","2016–2018",1,0.273208326437927,0.726791673562073,0.749695989877845
"10-17","2019–2021",1,0.23023586352097,0.76976413647903,0.609840066675124
"10-17","2022–2024",1,0.242447017418921,0.757552982581079,0.710461258907206
"18-30","2007–2009",1,0.265452332152828,0.734547667847172,1.10738573752019
"18-30","2010–2012",1,0.250150170251541,0.749849829748459,1.10428018465497
"18-30","2013–2015",1,0.238947235305903,0.761052764694097,0.938820432037346
"18-30","2016–2018",1,0.250419236989544,0.749580763010456,1.04451999684739
"18-30","2019–2021",1,0.206809596360854,0.793190403639146,0.835595130307424
"18-30","2022–2024",1,0.212559399095013,0.787440600904987,0.92445460704587
"31-55","2007–2009",1,0.250720349840545,0.749279650159455,1.26291660263564
"31-55","2010–2012",1,0.250691704225981,0.749308295774019,1.27925160203481
"31-55","2013–2015",1,0.245490967779989,0.754509032220011,1.22187032433066
"31-55","2016–2018",1,0.254503472730366,0.745496527269634,1.36911873684168
"31-55","2019–2021",1,0.206952868414851,0.793047131585149,1.02015034991084
"31-55","2022–2024",1,0.217738556882867,0.782261443117133,1.07592774258554
"56-65","2007–2009",1,0.166853362293772,0.833146637706228,0.745935759392621
"56-65","2010–2012",1,0.174350341614947,0.825649658385053,0.725795333528818
"56-65","2013–2015",1,0.167552745886634,0.832447254113366,0.763819837786472
"56-65","2016–2018",1,0.202315668545428,0.797684331454572,0.955199871614736
"56-65","2019–2021",1,0.174391720031128,0.825608279968872,0.818040062774028
"56-65","2022–2024",1,0.174277957477491,0.825722042522509,0.805668241839434
"66+","2007–2009",1,0.0775544434086858,0.922445556591314,0.337798097574311
"66+","2010–2012",1,0.0695067086309775,0.930493291369022,0.268092490196943
"66+","2013–2015",1,0.0736784643484972,0.926321535651503,0.311742120728477
"66+","2016–2018",1,0.0831132459692741,0.916886754030726,0.381128114185088
"66+","2019–2021",1,0.0688555368405429,0.931144463159457,0.339481270608888
"66+","2022–2024",1,0.0775124890719735,0.922487510928026,0.313907374088189
