"item","file","owner","present","status","md5","bitwise"
"Figure 1","../Overleaf_source/figures/activity_graph_v2_small.png",NA,TRUE,"UNOWNED","077ee38321ba7444b6f5230529f36b60","IDENTICAL"
"Figure 2","../Overleaf_source/figures/kde_YEARBIN_comparison_FIXED.png","step2b_visualization.R",TRUE,"OK","281b82bcacc9cbff1eb7e4f3d15286ad","IDENTICAL"
"Figure 3","../Overleaf_source/figures/kde_DIFFERENCE_by_cohort_SHARP.png","step2c_visualization_transpose.R",TRUE,"OK","6a62e264c8fd4eacbcb930d48210ba64","IDENTICAL"
"Figure 4","../Overleaf_source/figures/temporal_profiles_all_ages.png","step3_daytime.R",TRUE,"OK","a6625f5a45b0f20ffc2834f48fe6489d","IDENTICAL"
"Figure 5","../Overleaf_source/figures/Figure_R2_5.png","step4_integral_R2.R",TRUE,"OK","81d302560d16c8f5fd5a47cf3b036c47","IDENTICAL"
"Figure 6a","../Overleaf_source/figures/Figure_R2_6a.png","step8_uncertainty_R2.R",TRUE,"OK","5c7021a322fc7d5930ea749d4675110d","IDENTICAL"
"Figure 6b","../Overleaf_source/figures/action_space_trajectory_TRIPWEIGHTED.png","step4_integral.R",TRUE,"OK","07517ec1d89575705ddf0ff3185be94e","IDENTICAL"
"Figure S1","../Overleaf_source/figures/window_shifts.png","step3_daytime.R",TRUE,"OK","2f211b2a3a4662e1fddf63e917443209","IDENTICAL"
"Figure S2","../Overleaf_source/figures/mean_time_shift.png","step3_daytime.R",TRUE,"OK","0b955bfa298429c6ae30aeb4dda9ccb6","IDENTICAL"
"Figure S3","../Overleaf_source/figures/mean_distance_trend_TRIPWEIGHTED.png","step4_integral.R",TRUE,"OK","7276b32ced31577ed58c106ed2cbb2bf","IDENTICAL"
"Figure S4","../Overleaf_source/figures/urban_drift_comparison.png","step7_urban_robustness.R",TRUE,"OK","a23ea54b7cefa9b4230b5e0199a5d03e","IDENTICAL"
"Figure S5a","../Overleaf_source/figures/drift_vectors_males.png","step5b_sex_drift.R",TRUE,"OK","347c5eb04ff995faeca492b1b458215e","IDENTICAL"
"Figure S5b","../Overleaf_source/figures/drift_vectors_females.png","step5b_sex_drift.R",TRUE,"OK","a2c73b453f2bf9694990e862d2bd52de","IDENTICAL"
"Figure S6","../Overleaf_source/figures/bw_drift_bars.png","step9_bandwidth_sensitivity.R",TRUE,"OK","e1b2515ec5ab7139f18739d660efb69a","IDENTICAL"
"Figure S7","../Overleaf_source/figures/Figure_R2_S7.png","step1_discriptive_stat.R",TRUE,"OK","f3513706907201d389749c31119eb2e3","IDENTICAL"
"Figure S8","../Overleaf_source/figures/Figure_R2_S8.png","step8_uncertainty_R2.R",TRUE,"OK","942f3e0215846cc2bb6136920f8e8c3d","IDENTICAL"
"Table 1","results/baseline/table_main1_descriptive.tex",NA,FALSE,"UNOWNED",NA,"NO-REF"
"Table S1","results/baseline/table_s1_descriptive.tex","step1_discriptive_stat.R",FALSE,"MISSING",NA,"NO-REF"
"Table S2","results/baseline/table_path_complexity.tex","step6_final_plots.R",TRUE,"OK","6cb5ab277a6c6d7faa8189f8bac719b8","IDENTICAL"
"Table S3","results/bandwidth_sensitivity/table_bandwidth_drift.tex",NA,FALSE,"UNOWNED",NA,"NO-REF"
