"AgeGroup","variant","pct","lo","hi","width","sd","excludes_zero","rank"
"10-17","all",11.6735723084172,-11.4810479131352,24.9039470357984,36.3849949489336,9.63954267830245,FALSE,3
"18-30","all",6.57844022801055,-11.3243422105046,13.4888365759887,24.8131787864933,5.78085796610933,FALSE,5
"31-55","all",14.8348812973946,6.75069996569748,32.5473155705184,25.7966156048209,6.27555116272718,TRUE,1
"56-65","all",13.2320233506877,1.2038507508163,28.1299596727799,26.9261089219636,7.17257223997715,TRUE,2
"66+","all",7.13364202670225,-15.4693145760622,36.7543093527689,52.2236239288311,13.6822573636069,FALSE,4
"10-17","fixed:pooled6",5.61952141156545,-0.121798597016913,11.9133590103329,12.0351576073498,3.10167749554871,FALSE,4
"18-30","fixed:pooled6",5.77088056769862,0.607566694248726,10.3853625693982,9.77779587514948,2.55188976842782,TRUE,3
"31-55","fixed:pooled6",6.5989199582365,3.6579711384803,9.50366521550044,5.84569407702015,1.54423801331961,TRUE,2
"56-65","fixed:pooled6",12.9297920492132,7.33558213561579,18.6028364436487,11.2672543080329,2.85817798965136,TRUE,1
"66+","fixed:pooled6",2.85777449476668,-4.14714183447486,10.9790553303195,15.1261971647944,3.80945909007765,FALSE,5
"10-17","fixed:base5",5.75068123967686,-0.0159659800430573,12.0631670269849,12.0791330070279,3.11070947422881,FALSE,4
"18-30","fixed:base5",5.77118706062533,0.607893623111418,10.3856779490606,9.7777843259492,2.55173833668964,TRUE,3
"31-55","fixed:base5",6.60940798407092,3.65457687629185,9.50786718864218,5.85329031235034,1.54496610224147,TRUE,2
"56-65","fixed:base5",12.9051088887124,7.3000232974139,18.5572030711867,11.2571797737728,2.85823324259684,TRUE,1
"66+","fixed:base5",2.91605052155535,-4.06118521448214,11.0309212242888,15.092106438771,3.80760720884487,FALSE,5
"10-17","fixed:first",6.36785067523527,0.59425489571578,12.7241460346031,12.1298911388874,3.19324941446391,TRUE,3
"18-30","fixed:first",5.78441316560803,0.662387587663002,10.4161658055964,9.75377821793336,2.55492257387573,TRUE,4
"31-55","fixed:first",6.6272130231693,3.65102651924942,9.51559629969325,5.86456978044383,1.54879890026644,TRUE,2
"56-65","fixed:first",12.8126092139889,7.22608723294897,18.4076020441128,11.1815148111638,2.85864813623476,TRUE,1
"66+","fixed:first",2.64843708665531,-4.58151665991567,10.7766730689408,15.3581897288565,3.86925980589368,FALSE,5
"10-17","fixed:last",5.28913959687762,-0.512499007757884,11.548297797692,12.0607968054499,3.09037853393674,FALSE,4
"18-30","fixed:last",5.75837546824328,0.679591672809895,10.3096843310765,9.63009265826659,2.55505659970394,TRUE,3
"31-55","fixed:last",6.5780982115018,3.67564563430898,9.50323434365783,5.82758870934886,1.54159240922397,TRUE,2
"56-65","fixed:last",13.2352416211354,7.54918120946908,18.9959427057192,11.4467614962501,2.87228700527292,TRUE,1
"66+","fixed:last",2.86922201448526,-4.24097482913493,10.9324557573522,15.1734305864872,3.79461156727487,FALSE,5
"10-17","fixed:allages",6.4697651570272,0.580981087810904,13.04513300635,12.4641519185391,3.3161404058829,TRUE,3
"18-30","fixed:allages",5.71047928102982,0.66050150345232,10.2701323290408,9.60963082558847,2.55144715858963,TRUE,4
"31-55","fixed:allages",6.65838940471042,3.70410477634713,9.68014840662493,5.9760436302778,1.56976305485208,TRUE,2
"56-65","fixed:allages",12.3768109923691,6.86291942868538,18.0439091367822,11.1809897080968,2.84786500728529,TRUE,1
"66+","fixed:allages",4.27818662611908,-2.92109528068226,12.1556305788341,15.0767258595164,3.81911280142184,FALSE,5
"10-17","marginal",4.70236675720118,-1.32068639088216,10.9571131862517,12.2777995771339,3.15738625520596,FALSE,4
"18-30","marginal",6.09883399770391,1.01272235531896,10.7320583741685,9.71933601884957,2.56708958098302,TRUE,3
"31-55","marginal",6.68317332308929,3.77057019461507,9.59139337017265,5.82082317555757,1.5422132769973,TRUE,2
"56-65","marginal",13.0520410316437,7.40894321618397,18.8717843413269,11.4628411251429,2.86947120719284,TRUE,1
"66+","marginal",2.77353673640756,-4.23993732498006,10.9200011042072,15.1599384291873,3.85330807779643,FALSE,5
