"AgeGroup","variant","base","end","drift","pct"
"10-17","all",6.12536588339345,6.8404148989465,0.715049015553054,11.6735723084172
"10-17","fixed:pooled6",5.54103297825398,5.85241251288887,0.311379534634885,5.61952141156545
"10-17","fixed:base5",5.5526675162978,5.87198372545917,0.319316209161369,5.75068123967686
"10-17","fixed:first",5.60714008724998,5.96419439515732,0.357054307907336,6.36785067523527
"10-17","fixed:last",5.51403322373117,5.80567813835252,0.291644914621353,5.28913959687762
"10-17","fixed:allages",5.72160505543349,6.09177946573263,0.370174410299143,6.4697651570272
"10-17","marginal",5.54493496008124,5.80567813835252,0.260743178271286,4.70236675720118
"18-30","all",9.92102634292619,10.5736751309008,0.652648787974581,6.57844022801055
"18-30","fixed:pooled6",11.354115032502,12.0093474505468,0.655232418044807,5.77088056769862
"18-30","fixed:base5",11.349766389057,12.0047826383135,0.655016249256461,5.77118706062533
"18-30","fixed:first",11.3254934246196,11.9806067573434,0.65511333272377,5.78441316560803
"18-30","fixed:last",11.3853102867067,12.0409192012398,0.655608914533099,5.75837546824328
"18-30","fixed:allages",11.3950527054765,12.0457648292851,0.650712123808662,5.71047928102982
"18-30","marginal",11.3487761811788,12.0409192012398,0.692143020061055,6.09883399770391
"31-55","all",12.0941919747318,13.8883509980623,1.79415902333049,14.8348812973946
"31-55","fixed:pooled6",13.4048001262589,14.2893721571523,0.884572030893409,6.5989199582365
"31-55","fixed:base5",13.4039989455981,14.2899239220932,0.885924976495144,6.60940798407092
"31-55","fixed:first",13.398448187522,14.286391890708,0.887943703186046,6.6272130231693
"31-55","fixed:last",13.4171048892861,14.2996952260436,0.882590336757453,6.5780982115018
"31-55","fixed:allages",13.3607644530505,14.2503761777808,0.889611724730234,6.65838940471042
"31-55","marginal",13.403890023722,14.2996952260436,0.895805202321615,6.68317332308929
"56-65","all",12.1320055104738,13.7373153125264,1.60530980205261,13.2320233506877
"56-65","fixed:pooled6",13.1133337809755,14.8088605695748,1.69552678859935,12.9297920492132
"56-65","fixed:base5",13.1143762118703,14.8068007420876,1.69242453021726,12.9051088887124
"56-65","fixed:first",13.1256797964103,14.8074218554038,1.68174205899354,12.8126092139889
"56-65","fixed:last",13.0989703097258,14.8326506800988,1.733680370373,13.2352416211354
"56-65","fixed:allages",13.1327356291004,14.7581494960416,1.62541386694127,12.3768109923691
"56-65","marginal",13.1201971629571,14.8326506800988,1.7124535171417,13.0520410316437
"66+","all",12.444545557788,13.3322948897305,0.887749331942471,7.13364202670225
"66+","fixed:pooled6",10.6518222764885,10.9562273367338,0.304405060245363,2.85777449476668
"66+","fixed:base5",10.6424868685693,10.9528271624067,0.310340293837374,2.91605052155535
"66+","fixed:first",10.7215571363244,11.0055108317897,0.283953695465353,2.64843708665531
"66+","fixed:last",10.6275700614921,10.9324986413013,0.304928579809177,2.86922201448526
"66+","fixed:allages",10.3771942925716,10.8211500309628,0.443955738391189,4.27818662611908
"66+","marginal",10.6374646513731,10.9324986413013,0.295033989928202,2.77353673640756
