"AgeGroup","reference","slice","hour","weight"
"10-17","pooled6",1,0,5.23882418726291e-85
"10-17","pooled6",2,0.25,6.85401514324488e-77
"10-17","pooled6",3,0.5,3.22976303845574e-69
"10-17","pooled6",4,0.75,5.48164166808919e-62
"10-17","pooled6",5,1,3.35092766945746e-55
"10-17","pooled6",6,1.25,7.37792135926554e-49
"10-17","pooled6",7,1.5,5.85083566660043e-43
"10-17","pooled6",8,1.75,1.67115856237163e-37
"10-17","pooled6",9,2,1.71923783661022e-32
"10-17","pooled6",10,2.25,6.37059686587314e-28
"10-17","pooled6",11,2.5,8.50296217891518e-24
"10-17","pooled6",12,2.75,4.08847673814228e-20
"10-17","pooled6",13,3,7.08443958277531e-17
"10-17","pooled6",14,3.25,4.42810163848639e-14
"10-17","pooled6",15,3.5,1.00099699930735e-11
"10-17","pooled6",16,3.75,8.24182061627534e-10
"10-17","pooled6",17,4,2.5182465636323e-08
"10-17","pooled6",18,4.25,2.99051284766697e-07
"10-17","pooled6",19,4.5,1.52449086871358e-06
"10-17","pooled6",20,4.75,3.95894120607906e-06
"10-17","pooled6",21,5,6.9577259295142e-06
"10-17","pooled6",22,5.25,1.33410987256395e-05
"10-17","pooled6",23,5.5,3.05131588460367e-05
"10-17","pooled6",24,5.75,5.8386330770839e-05
"10-17","pooled6",25,6,9.28052141898323e-05
"10-17","pooled6",26,6.25,0.000144938536723898
"10-17","pooled6",27,6.5,0.000237649274095898
"10-17","pooled6",28,6.75,0.000420694723404035
"10-17","pooled6",29,7,0.00087527011980369
"10-17","pooled6",30,7.25,0.00228982658337044
"10-17","pooled6",31,7.5,0.00624017202541669
"10-17","pooled6",32,7.75,0.0133498298901358
"10-17","pooled6",33,8,0.0205710851709863
"10-17","pooled6",34,8.25,0.0246915086770428
"10-17","pooled6",35,8.5,0.0262983726929426
"10-17","pooled6",36,8.75,0.0269898994100438
"10-17","pooled6",37,9,0.0273977881170824
"10-17","pooled6",38,9.25,0.02768383130251
"10-17","pooled6",39,9.5,0.0279457667787192
"10-17","pooled6",40,9.75,0.0282020867171792
"10-17","pooled6",41,10,0.0284055736144802
"10-17","pooled6",42,10.25,0.02853050576883
"10-17","pooled6",43,10.5,0.0286004833943443
"10-17","pooled6",44,10.75,0.0286568554653305
"10-17","pooled6",45,11,0.0287147402114125
"10-17","pooled6",46,11.25,0.0287380803038304
"10-17","pooled6",47,11.5,0.0286862651033536
"10-17","pooled6",48,11.75,0.0285852619455079
"10-17","pooled6",49,12,0.0284669290889656
"10-17","pooled6",50,12.25,0.0283336540723589
"10-17","pooled6",51,12.5,0.0281322929120354
"10-17","pooled6",52,12.75,0.0277405867467073
"10-17","pooled6",53,13,0.0270959411615538
"10-17","pooled6",54,13.25,0.0262713147818776
"10-17","pooled6",55,13.5,0.0252051414129428
"10-17","pooled6",56,13.75,0.0237153345748761
"10-17","pooled6",57,14,0.0217872922465004
"10-17","pooled6",58,14.25,0.0197860265246308
"10-17","pooled6",59,14.5,0.017958172758685
"10-17","pooled6",60,14.75,0.0162085152662971
"10-17","pooled6",61,15,0.0144343314378372
"10-17","pooled6",62,15.25,0.0128242931582256
"10-17","pooled6",63,15.5,0.0116434590285131
"10-17","pooled6",64,15.75,0.0108664743703094
"10-17","pooled6",65,16,0.0103599888045389
"10-17","pooled6",66,16.25,0.0100616497536968
"10-17","pooled6",67,16.5,0.00997963308869714
"10-17","pooled6",68,16.75,0.010068441864236
"10-17","pooled6",69,17,0.0101492868847389
"10-17","pooled6",70,17.25,0.0100643831929676
"10-17","pooled6",71,17.5,0.00985958253569565
"10-17","pooled6",72,17.75,0.00963770912074067
"10-17","pooled6",73,18,0.00934562874292275
"10-17","pooled6",74,18.25,0.00900723248438959
"10-17","pooled6",75,18.5,0.00873607729299317
"10-17","pooled6",76,18.75,0.00850891208425996
"10-17","pooled6",77,19,0.00819452540314811
"10-17","pooled6",78,19.25,0.00775668884717977
"10-17","pooled6",79,19.5,0.0072702198389466
"10-17","pooled6",80,19.75,0.00677635783369932
"10-17","pooled6",81,20,0.00624390827535935
"10-17","pooled6",82,20.25,0.00568869023901367
"10-17","pooled6",83,20.5,0.00515840179121648
"10-17","pooled6",84,20.75,0.00466447465325717
"10-17","pooled6",85,21,0.00416788194830897
"10-17","pooled6",86,21.25,0.00370936246837492
"10-17","pooled6",87,21.5,0.00333694270847439
"10-17","pooled6",88,21.75,0.00302154292772449
"10-17","pooled6",89,22,0.00272688201444009
"10-17","pooled6",90,22.25,0.00247285760071959
"10-17","pooled6",91,22.5,0.00228163729083275
"10-17","pooled6",92,22.75,0.00213773728010241
"10-17","pooled6",93,23,0.00200742143543148
"10-17","pooled6",94,23.25,0.00181070850703355
"10-17","pooled6",95,23.5,0.0013091234474634
"10-17","pooled6",96,23.75,0.000552052242010827
"10-17","base5",1,0,6.28658902471549e-85
"10-17","base5",2,0.25,8.22481817189385e-77
"10-17","base5",3,0.5,3.87571564614689e-69
"10-17","base5",4,0.75,6.57797000170703e-62
"10-17","base5",5,1,4.02111320334895e-55
"10-17","base5",6,1.25,8.85350563111865e-49
"10-17","base5",7,1.5,7.02100279992052e-43
"10-17","base5",8,1.75,2.00539027484596e-37
"10-17","base5",9,2,2.06308540393227e-32
"10-17","base5",10,2.25,7.64471623904776e-28
"10-17","base5",11,2.5,1.02035546146979e-23
"10-17","base5",12,2.75,4.90617208576722e-20
"10-17","base5",13,3,8.50132749920416e-17
"10-17","base5",14,3.25,5.31372196455188e-14
"10-17","base5",15,3.5,1.20119639156762e-11
"10-17","base5",16,3.75,9.89018346309635e-10
"10-17","base5",17,4,3.02188813735691e-08
"10-17","base5",18,4.25,3.5884452929997e-07
"10-17","base5",19,4.5,1.82801776667547e-06
"10-17","base5",20,4.75,4.70901611511096e-06
"10-17","base5",21,5,7.83758699277169e-06
"10-17","base5",22,5.25,1.31536822361793e-05
"10-17","base5",23,5.5,2.81889830596834e-05
"10-17","base5",24,5.75,5.48176088760103e-05
"10-17","base5",25,6,9.03048299427992e-05
"10-17","base5",26,6.25,0.000143431490668027
"10-17","base5",27,6.5,0.000235106942969498
"10-17","base5",28,6.75,0.000418094778039789
"10-17","base5",29,7,0.000867818402202789
"10-17","base5",30,7.25,0.0022657483050866
"10-17","base5",31,7.5,0.00617746750672814
"10-17","base5",32,7.75,0.0132057865668329
"10-17","base5",33,8,0.0203766351631526
"10-17","base5",34,8.25,0.0245295858599986
"10-17","base5",35,8.5,0.026178289244791
"10-17","base5",36,8.75,0.0268939981276128
"10-17","base5",37,9,0.027310032693472
"10-17","base5",38,9.25,0.0275893841714208
"10-17","base5",39,9.5,0.0278434273693177
"10-17","base5",40,9.75,0.028102672855968
"10-17","base5",41,10,0.0283137221541188
"10-17","base5",42,10.25,0.0284492860304312
"10-17","base5",43,10.5,0.0285352894507635
"10-17","base5",44,10.75,0.0286044379885213
"10-17","base5",45,11,0.0286676349731622
"10-17","base5",46,11.25,0.0286799842981724
"10-17","base5",47,11.5,0.028593263108508
"10-17","base5",48,11.75,0.028460627046148
"10-17","base5",49,12,0.0283313287067387
"10-17","base5",50,12.25,0.0281961852215461
"10-17","base5",51,12.5,0.0279842090950842
"10-17","base5",52,12.75,0.0275599628421793
