"scenario","AgeGroup","x_base","y_base","x_end","y_end","pct_change_distance","pct_change_time","magnitude"
"baseline","10-17",0.2792,5.5509,0.2704,5.8708,5.7631,-3.1512,0.32
"baseline","18-30",0.2864,11.3529,0.2682,12.0069,5.7602,-6.3548,0.6542
"baseline","31-55",0.2916,13.4114,0.2736,14.2975,6.6073,-6.1743,0.8863
"baseline","56-65",0.2239,13.1186,0.2422,14.8133,12.9178,8.1529,1.6947
"baseline","66+",0.0888,10.6357,0.0925,10.9459,2.9167,4.1619,0.3102
"city_10000","10-17",0.2738,4.0623,0.2641,4.5983,13.1954,-3.5129,0.5361
"city_10000","18-30",0.2858,9.2307,0.2652,9.9167,7.4319,-7.2167,0.6863
"city_10000","31-55",0.2912,10.9846,0.2711,11.4865,4.5693,-6.8999,0.5023
"city_10000","56-65",0.2304,10.7097,0.2446,12.226,14.1587,6.15,1.5164
"city_10000","66+",0.0927,8.685,0.0977,9.138,5.2157,5.4353,0.453
"city_100000","10-17",0.2761,3.7913,0.2606,4.3649,15.1315,-5.6404,0.5739
"city_100000","18-30",0.2896,7.5024,0.2666,8.0344,7.0918,-7.9496,0.5326
"city_100000","31-55",0.2915,8.4647,0.2666,8.7864,3.8006,-8.5469,0.3227
"city_100000","56-65",0.2381,8.7594,0.2476,9.7551,11.367,3.9687,0.9957
"city_100000","66+",0.0945,7.9559,0.0995,7.2866,-8.4124,5.2844,0.6693
"city_25000","10-17",0.2753,3.8337,0.2647,4.3329,13.0193,-3.8745,0.4992
"city_25000","18-30",0.2869,8.612,0.264,9.0217,4.757,-7.9751,0.4103
"city_25000","31-55",0.2911,10.1393,0.2711,10.6847,5.3789,-6.8545,0.5457
"city_25000","56-65",0.2323,10.2918,0.244,12.1016,17.5842,5.038,1.8098
"city_25000","66+",0.0944,8.3432,0.1011,8.6023,3.1053,7.1554,0.2592
"city_50000","10-17",0.2767,3.7689,0.261,4.2413,12.5342,-5.6722,0.4727
"city_50000","18-30",0.2885,7.8547,0.2679,8.3775,6.657,-7.1587,0.5233
"city_50000","31-55",0.2912,9.0143,0.2691,9.5001,5.3895,-7.5667,0.4863
"city_50000","56-65",0.2337,9.2585,0.2423,10.7116,15.6954,3.6673,1.4532
"city_50000","66+",0.0951,7.8726,0.1029,7.7153,-1.9978,8.2039,0.1575
